Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2025-07-26,AAL,6444,ABQ,LAX,Main,B3,5,52C,false,,2025-07-26T07:00,2025-07-26T07:01,,,,,2025-07-26T08:03,2025-07-26T08:01,Bombardier CRJ700,,SIUYXY,15C DC,AISLE,ECONOMY,LEISURE,,8282613d-f78c-4c6a-a9a7-62f6b30aecbb,ae1fc6a5-c42d-4e70-ba63-d641d248d270,7b925806-8601-400f-bd02-c38802c531b8,25b8d712-9888-423f-868d-b25f1d184aaf,,1404a49a-a829-47ff-b37b-6c9273f21c77
2025-07-28,AAL,6515,LAX,ABQ,5,52G,Main,B4,false,,2025-07-28T18:50,2025-07-28T18:40,,,,,2025-07-28T21:50,2025-07-28T21:29,Bombardier CRJ700,,SIUYXY,14C,AISLE,ECONOMY,LEISURE,,7e7f1827-c5cc-43e4-b977-7e838be76055,ae1fc6a5-c42d-4e70-ba63-d641d248d270,25b8d712-9888-423f-868d-b25f1d184aaf,7b925806-8601-400f-bd02-c38802c531b8,,1404a49a-a829-47ff-b37b-6c9273f21c77
2025-08-27,SWA,3270,ABQ,PHX,Main,A11,4,D13,false,,2025-08-27T18:40,2025-08-27T18:38,,,,,2025-08-27T19:00,2025-08-27T18:51,Boeing 737-700,,,,,,,,42ed48ab-9ebf-4b84-8ec7-31ffc764e94f,be4c4286-2c02-4dca-86d4-56e19aa348f7,7b925806-8601-400f-bd02-c38802c531b8,a2f06eec-440b-48dd-9096-f9051e8a07ef,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2025-09-02,SWA,4010,PHX,ABQ,4,D13,Main,A10,false,,2025-09-02T19:50,2025-09-02T19:58,,,,,2025-09-02T22:00,2025-09-02T22:06,Boeing 737-800,,,,,,,,44ec082f-1b29-4122-a639-d80c01848a11,be4c4286-2c02-4dca-86d4-56e19aa348f7,a2f06eec-440b-48dd-9096-f9051e8a07ef,7b925806-8601-400f-bd02-c38802c531b8,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-10-23,AAL,1838,ABQ,PHX,Main,B1,4,B7,false,,2025-10-23T19:21,2025-10-23T19:16,,,,,2025-10-23T19:41,2025-10-23T19:43,Airbus A320,,,,,,,,ac90174c-4a77-469c-bcfa-eb0ac1bd9f87,ae1fc6a5-c42d-4e70-ba63-d641d248d270,7b925806-8601-400f-bd02-c38802c531b8,a2f06eec-440b-48dd-9096-f9051e8a07ef,,dd390a1f-e92a-4411-ab72-04db16d42030
2025-10-24,AAL,1799,PHX,SMF,4,A12,A,4,false,,2025-10-24T16:36,2025-10-24T16:35,,,,,2025-10-24T18:38,2025-10-24T18:21,Boeing 737-800,,,,,,,,44fd038c-77e3-4248-9597-9b589eb65c44,ae1fc6a5-c42d-4e70-ba63-d641d248d270,a2f06eec-440b-48dd-9096-f9051e8a07ef,8d225b5f-dd0b-4d8f-ab0a-8aff0c6a0eaf,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-10-26,AAL,1620,SMF,PHX,A,2,4,A5,false,,2025-10-26T16:33,2025-10-26T16:48,,,,,2025-10-26T18:24,2025-10-26T18:23,Airbus A319,,,,,,,,0e48a1c0-e5d8-4a92-b7f2-951fe9a93e8f,ae1fc6a5-c42d-4e70-ba63-d641d248d270,8d225b5f-dd0b-4d8f-ab0a-8aff0c6a0eaf,a2f06eec-440b-48dd-9096-f9051e8a07ef,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2025-10-26,AAL,2132,PHX,ABQ,4,A6,Main,B1,false,,2025-10-26T19:22,2025-10-26T19:15,,,,,2025-10-26T21:35,2025-10-26T21:15,Airbus A319,,,,,,,,9fd64c9b-0191-40f0-9536-c262ee5cfc02,ae1fc6a5-c42d-4e70-ba63-d641d248d270,a2f06eec-440b-48dd-9096-f9051e8a07ef,7b925806-8601-400f-bd02-c38802c531b8,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2025-11-07,SWA,100,ABQ,AUS,Main,A6,Main,19,false,,2025-11-07T07:00,2025-11-07T06:59,,,,,2025-11-07T09:50,2025-11-07T09:39,Boeing 737-700,,,,,,,,54e29a8c-3c74-47c0-80bd-ed6c9a663cc2,be4c4286-2c02-4dca-86d4-56e19aa348f7,7b925806-8601-400f-bd02-c38802c531b8,d63b6bd2-9ed4-447e-914f-ca4d96f28653,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2025-11-09,SWA,3419,AUS,PHX,Main,16,4,D3,false,,2025-11-09T16:10,2025-11-09T17:38,,,,,2025-11-09T17:50,2025-11-09T19:13,Boeing 737 MAX 8,,,,,,,,4b12250f-c526-4a75-948b-71a34920fa0f,be4c4286-2c02-4dca-86d4-56e19aa348f7,d63b6bd2-9ed4-447e-914f-ca4d96f28653,a2f06eec-440b-48dd-9096-f9051e8a07ef,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
